id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,ingresos_totales_USD_cat,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público
1,1,1,5,0,18,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,6000,3,6000,2,18000,9000,0,0,13,1,12,2,1,0,0.0,94.71191791633781,94.71191791633781,284.1357537490134,142.0678768745067,3,1,0,1,0,1,0
1,1,2,5,0,18,5,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,12000,3,12000,2,18000,9000,0,0,13,1,12,1,2,0,0.0,189.42383583267562,189.42383583267562,284.1357537490134,142.0678768745067,3,1,0,1,0,1,0
2,1,1,2,0,18,2,4,Padre no vive en el hogar,2,1,1,1,0,1,0,1,0,1,100000,33333,0,3,13,1,12,0,2,0,0.0,0.0,0.0,1578.5319652722967,526.1720599842147,4,0,1,1,0,1,0
2,1,2,2,0,50,6,6,No corresponde,No corresponde,2,0,3,70000,2,30000,2,100000,1,100000,33333,1,1,1,5,17,0,3,2,1104.9723756906078,473.559589581689,1578.5319652722967,1578.5319652722967,526.1720599842147,2,1,0,0,1,1,0
2,1,3,2,0,17,4,4,Padre no vive en el hogar,2,1,1,1,0,1,0,1,0,1,100000,33333,0,3,11,0,10,0,2,0,0.0,0.0,0.0,1578.5319652722967,526.1720599842147,4,0,1,1,0,1,0
3,1,1,10,0,18,2,5,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,2500,3,2500,2,46500,15500,1,1,1,0,8,0,1,1,0.0,39.46329913180742,39.46329913180742,734.017363851618,244.672454617206,3,1,0,0,1,1,0
3,1,2,10,0,21,0,5,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,44000,1,0,3,44000,2,46500,15500,1,1,1,3,12,0,1,0,694.5540647198105,0.0,694.5540647198105,734.017363851618,244.672454617206,2,0,1,1,0,1,0
3,1,3,10,0,1,1,2,2,1,1,1,0,0,0,0,0,0,2,46500,15500,2,1,1,6,0,0,1,0,0.0,0.0,0.0,734.017363851618,244.672454617206,4,1,0,1,0,1,0
4,1,1,15,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,5500,3,5500,2,11000,5500,0,3,11,0,11,0,4,0,0.0,86.81925808997632,86.81925808997632,173.63851617995263,86.81925808997632,3,1,0,1,0,0,1
4,1,2,15,0,15,4,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,5500,3,5500,2,11000,5500,0,3,11,0,9,0,4,0,0.0,86.81925808997632,86.81925808997632,173.63851617995263,86.81925808997632,3,1,0,1,0,0,1
